"file name","company name","topic","source_file_path","notes/keywords","country","sector","revenue","employees"
"ambu Report LTI.txt","ambu","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/ambu%20Report%20LTI.txt","File contain a summary of long term incentive plans for company ambu","Sweden","consumer cyclical",70,600
"Annehem Fastigheter Report LTI.txt","Annehem Fastigheter","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Annehem%20Fastigheter%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Annehem Fastigheter","Sweden","consumer cyclical",70,600
"anora Report LTI.txt","anora","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/anora%20Report%20LTI.txt","File contain a summary of long term incentive plans for company anora","Sweden","consumer cyclical",70,600
"apetit Report LTI.txt","apetit","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/apetit%20Report%20LTI.txt","File contain a summary of long term incentive plans for company apetit","Sweden","healthcare",0,10
"Aq Group Report LTI.txt","Aq Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Aq%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Aq Group","Sweden","healthcare",920,2260
"aquaporin Report LTI.txt","aquaporin","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/aquaporin%20Report%20LTI.txt","File contain a summary of long term incentive plans for company aquaporin","Sweden","healthcare",920,2260
"Arjo Report LTI.txt","Arjo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Arjo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Arjo","Sweden","healthcare",920,2260
"Ascelia Report LTI.txt","Ascelia","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Ascelia%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Ascelia","Sweden","technology",700,2700
"Asetek Report LTI.txt","Asetek","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Asetek%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Asetek","Sweden","technology",700,2700
"aspo Report LTI.txt","aspo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/aspo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company aspo","Sweden","technology",700,2700
"Assa Abloy Report LTI.txt","Assa Abloy","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Assa%20Abloy%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Assa Abloy","Sweden","industrials",1800,4180
"Atlas Copco Report LTI.txt","Atlas Copco","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Atlas%20Copco%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Atlas Copco","Sweden","industrials",1800,4180
"atria Report LTI.txt","atria","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/atria%20Report%20LTI.txt","File contain a summary of long term incentive plans for company atria","Finland","basic materials",130,600
"Attendo Report LTI.txt","Attendo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Attendo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Attendo","Finland","basic materials",130,600
"Bactiguard Report LTI.txt","Bactiguard","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bactiguard%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bactiguard","Finland","basic materials",130,600
"bang-olufsen Report LTI.txt","bang-olufsen","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/bang-olufsen%20Report%20LTI.txt","File contain a summary of long term incentive plans for company bang-olufsen","Sweden","industrials",2440,18240
"bavarian-nordic Report LTI.txt","bavarian-nordic","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/bavarian-nordic%20Report%20LTI.txt","File contain a summary of long term incentive plans for company bavarian-nordic","Sweden","industrials",2440,18240
"Be Group Report LTI.txt","Be Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Be%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Be Group","Sweden","industrials",2440,18240
"Beijer Alma Report LTI.txt","Beijer Alma","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Beijer%20Alma%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Beijer Alma","Denmark","real estate",30,10
"Beijer Ref Report LTI.txt","Beijer Ref","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Beijer%20Ref%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Beijer Ref","Denmark","real estate",30,10
"Betsson Report LTI.txt","Betsson","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Betsson%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Betsson","Denmark","real estate",30,10
"Better Collective Report LTI.txt","Better Collective","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Better%20Collective%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Better Collective","Denmark","communication services",310,120
"Bhg Group Report LTI.txt","Bhg Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bhg%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bhg Group","Denmark","communication services",310,120
"Bilia Report LTI.txt","Bilia","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bilia%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bilia","Denmark","communication services",310,120
"Billerudkorsnas Report LTI.txt","Billerudkorsnas","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Billerudkorsnas%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Billerudkorsnas","Finland","financial services",780,850
"Bioarctic Report LTI.txt","Bioarctic","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bioarctic%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bioarctic","Finland","financial services",210,1130
"Biogaia Report LTI.txt","Biogaia","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Biogaia%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Biogaia","Finland","financial services",210,1130
"Bioinvent Report LTI.txt","Bioinvent","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bioinvent%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bioinvent","Sweden","industrials",6020,22320
"bioporto Report LTI.txt","bioporto","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/bioporto%20Report%20LTI.txt","File contain a summary of long term incentive plans for company bioporto","Sweden","industrials",6020,22320
"Biotage Report LTI.txt","Biotage","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Biotage%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Biotage","Sweden","industrials",6020,22320
"Bjorn Borg Report LTI.txt","Bjorn Borg","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bjorn%20Borg%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bjorn Borg","Sweden","industrials",640,3040
"Bonava Report LTI.txt","Bonava","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bonava%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bonava","Sweden","industrials",640,3040
"Bonesupport Report LTI.txt","Bonesupport","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bonesupport%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bonesupport","Finland","financial services",30,80
"Bong Report LTI.txt","Bong","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bong%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bong","Finland","financial services",30,80
"Boozt Report LTI.txt","Boozt","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Boozt%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Boozt","Denmark","healthcare",740,2750
"Boule Report LTI.txt","Boule","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Boule%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Boule","Denmark","healthcare",740,2750
"Bravida Report LTI.txt","Bravida","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bravida%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bravida","Sweden","basic materials",1770,6310
"Bufab Report LTI.txt","Bufab","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bufab%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bufab","Sweden","basic materials",1770,6310
"Bure Equity Report LTI.txt","Bure Equity","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Bure%20Equity%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Bure Equity","Sweden","healthcare",10,40
"Byggmax Report LTI.txt","Byggmax","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Byggmax%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Byggmax","Sweden","healthcare",10,40
"C-Rad Report LTI.txt","C-Rad","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/C-Rad%20Report%20LTI.txt","File contain a summary of long term incentive plans for company C-Rad","Sweden","industrials",840,2400
"Camurus Report LTI.txt","Camurus","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Camurus%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Camurus","Sweden","industrials",840,2400
"Cantargia Report LTI.txt","Cantargia","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Cantargia%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Cantargia","Denmark","financial services",1820,2270
"capman Report LTI.txt","capman","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/capman%20Report%20LTI.txt","File contain a summary of long term incentive plans for company capman","Denmark","financial services",1820,2270
"cargotec Report LTI.txt","cargotec","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/cargotec%20Report%20LTI.txt","File contain a summary of long term incentive plans for company cargotec","Denmark","financial services",1820,2270
"carlsberg Report LTI.txt","carlsberg","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/carlsberg%20Report%20LTI.txt","File contain a summary of long term incentive plans for company carlsberg","Sweden","healthcare",1280,37860
"Castellum Report LTI.txt","Castellum","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Castellum%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Castellum","Sweden","healthcare",1280,37860
"Catella Report LTI.txt","Catella","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Catella%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Catella","Sweden","healthcare",1280,37860
"Christian Berner Report LTI.txt","Christian Berner","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Christian%20Berner%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Christian Berner","Denmark","healthcare",720,5200
"Cint Group Report LTI.txt","Cint Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Cint%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Cint Group","Denmark","healthcare",720,5200
"Cloetta Report LTI.txt","Cloetta","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Cloetta%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Cloetta","Denmark","healthcare",720,5200
"coloplast Report LTI.txt","coloplast","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/coloplast%20Report%20LTI.txt","File contain a summary of long term incentive plans for company coloplast","Denmark","financial services",120,350
"componenta Report LTI.txt","componenta","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/componenta%20Report%20LTI.txt","File contain a summary of long term incentive plans for company componenta","Denmark","financial services",120,350
"Concejo Report LTI.txt","Concejo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Concejo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Concejo","Denmark","financial services",120,350
"Coor Report LTI.txt","Coor","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Coor%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Coor","Sweden","real estate",30,20
"Corem Property Report LTI.txt","Corem Property","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Corem%20Property%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Corem Property","Sweden","real estate",30,20
"Ctt Systems Report LTI.txt","Ctt Systems","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Ctt%20Systems%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Ctt Systems","Finland","consumer defensive",700,1210
"danske bank Report LTI.txt","danske bank","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/danske%20bank%20Report%20LTI.txt","File contain a summary of long term incentive plans for company danske bank","Finland","consumer defensive",700,1210
"Dedicare Report LTI.txt","Dedicare","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Dedicare%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Dedicare","Sweden","technology",0,30
"dfds Report LTI.txt","dfds","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/dfds%20Report%20LTI.txt","File contain a summary of long term incentive plans for company dfds","Sweden","technology",0,30
"Dios Fastigheter Report LTI.txt","Dios Fastigheter","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Dios%20Fastigheter%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Dios Fastigheter","Sweden","technology",0,30
"Dometic Report LTI.txt","Dometic","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Dometic%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Dometic","Finland","consumer defensive",160,280
"dsv Report LTI.txt","dsv","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/dsv%20Report%20LTI.txt","File contain a summary of long term incentive plans for company dsv","Finland","consumer defensive",160,280
"Eastnine Report LTI.txt","Eastnine","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Eastnine%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Eastnine","Finland","consumer defensive",160,280
"eezy Report LTI.txt","eezy","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/eezy%20Report%20LTI.txt","File contain a summary of long term incentive plans for company eezy","Sweden","industrials",770,7850
"Elanders Report LTI.txt","Elanders","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Elanders%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Elanders","Sweden","industrials",770,7850
"elecster Report LTI.txt","elecster","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/elecster%20Report%20LTI.txt","File contain a summary of long term incentive plans for company elecster","Denmark","utilities",10,80
"Electra Report LTI.txt","Electra","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Electra%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Electra","Denmark","utilities",10,80
"Electrolux Professional Report LTI.txt","Electrolux Professional","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Electrolux%20Professional%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Electrolux Professional","Denmark","utilities",10,80
"elisa Report LTI.txt","elisa","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/elisa%20Report%20LTI.txt","File contain a summary of long term incentive plans for company elisa","Sweden","basic materials",810,1500
"Emilshus Report LTI.txt","Emilshus","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Emilshus%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Emilshus","Sweden","basic materials",810,1500
"enersense Report LTI.txt","enersense","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/enersense%20Report%20LTI.txt","File contain a summary of long term incentive plans for company enersense","Sweden","basic materials",810,1500
"Engcon Report LTI.txt","Engcon","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Engcon%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Engcon","Sweden","utilities",40,70
"Eniro Report LTI.txt","Eniro","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Eniro%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Eniro","Sweden","utilities",40,70
"Epiroc Report LTI.txt","Epiroc","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Epiroc%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Epiroc","Sweden","utilities",40,70
"Episurf Report LTI.txt","Episurf","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Episurf%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Episurf","Sweden","healthcare",960,7170
"eq Report LTI.txt","eq","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/eq%20Report%20LTI.txt","File contain a summary of long term incentive plans for company eq","Sweden","healthcare",960,7170
"Essity Report LTI.txt","Essity","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Essity%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Essity","Sweden","healthcare",960,7170
"etteplan Report LTI.txt","etteplan","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/etteplan%20Report%20LTI.txt","File contain a summary of long term incentive plans for company etteplan","Sweden","basic materials",90,390
"evli Report LTI.txt","evli","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/evli%20Report%20LTI.txt","File contain a summary of long term incentive plans for company evli","Sweden","basic materials",90,390
"Evolution Gaming Group Report LTI.txt","Evolution Gaming Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Evolution%20Gaming%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Evolution Gaming Group","Sweden","basic materials",90,390
"Ework Group Report LTI.txt","Ework Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Ework%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Ework Group","Sweden","healthcare",0,10
"exel composites Report LTI.txt","exel composites","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/exel%20composites%20Report%20LTI.txt","File contain a summary of long term incentive plans for company exel composites","Sweden","healthcare",0,10
"Fasadgruppen Report LTI.txt","Fasadgruppen","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Fasadgruppen%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Fasadgruppen","Sweden","healthcare",0,10
"fast-ejendom Report LTI.txt","fast-ejendom","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/fast-ejendom%20Report%20LTI.txt","File contain a summary of long term incentive plans for company fast-ejendom","Denmark","technology",50,110
"Fastpartner Report LTI.txt","Fastpartner","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Fastpartner%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Fastpartner","Denmark","technology",50,110
"firstfarms Report LTI.txt","firstfarms","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/firstfarms%20Report%20LTI.txt","File contain a summary of long term incentive plans for company firstfarms","Denmark","technology",50,110
"fiskars Report LTI.txt","fiskars","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/fiskars%20Report%20LTI.txt","File contain a summary of long term incentive plans for company fiskars","Finland","industrials",590,800
"flsmidth Report LTI.txt","flsmidth","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/flsmidth%20Report%20LTI.txt","File contain a summary of long term incentive plans for company flsmidth","Finland","industrials",590,800
"flugger Report LTI.txt","flugger","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/flugger%20Report%20LTI.txt","File contain a summary of long term incentive plans for company flugger","Finland","industrials",590,800
"FM Mattsson Report LTI.txt","FM Mattsson","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/FM%20Mattsson%20Report%20LTI.txt","File contain a summary of long term incentive plans for company FM Mattsson","Finland","technology",30,170
"fortum Report LTI.txt","fortum","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/fortum%20Report%20LTI.txt","File contain a summary of long term incentive plans for company fortum","Finland","technology",30,170
"gabriel Report LTI.txt","gabriel","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/gabriel%20Report%20LTI.txt","File contain a summary of long term incentive plans for company gabriel","Finland","technology",30,170
"Garo Report LTI.txt","Garo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Garo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Garo","Sweden","industrials",13150,63000
"genmab Report LTI.txt","genmab","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/genmab%20Report%20LTI.txt","File contain a summary of long term incentive plans for company genmab","Sweden","industrials",13150,63000
"Getinge Report LTI.txt","Getinge","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Getinge%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Getinge","Sweden","industrials",13150,63000
"glaston Report LTI.txt","glaston","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/glaston%20Report%20LTI.txt","File contain a summary of long term incentive plans for company glaston","Sweden","industrials",15890,55270
"gn store nord Report LTI.txt","gn store nord","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/gn%20store%20nord%20Report%20LTI.txt","File contain a summary of long term incentive plans for company gn store nord","Sweden","industrials",15890,55270
"gofore Report LTI.txt","gofore","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/gofore%20Report%20LTI.txt","File contain a summary of long term incentive plans for company gofore","Finland","consumer defensive",1760,3860
"Green Landscaping Report LTI.txt","Green Landscaping","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Green%20Landscaping%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Green Landscaping","Finland","consumer defensive",1760,3860
"Gubra Report LTI.txt","Gubra","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Gubra%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Gubra","Finland","consumer defensive",1760,3860
"Hansa Biopharma Report LTI.txt","Hansa Biopharma","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Hansa%20Biopharma%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Hansa Biopharma","Sweden","real estate",320,280
"Hanza Report LTI.txt","Hanza","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Hanza%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Hanza","Sweden","real estate",320,280
